"x","y"
"a pesar de eso",4
"a pesar de esto",4
"a pesar de todo eso",4
"a pesar de todo esto",4
"a proposito",2
"absolutamente",2
"agudamente",2
"agudo",2
"algo",3
"algo asi",3
"altamente",2
"alto",2
"apenas",3
"aumenta",2
"aumentado",2
"aumentan",2
"aumentar",2
"aumento",2
"aun",1
"aunque",4
"basta",2
"bastante",2
"bola",2
"casi",3
"cierto",2
"claro que",2
"colosal",2
"colosalmente",2
"completa",2
"considerablemente",2
"de verdad",2
"debilmente",3
"decididamente",2
"declara",2
"definido",2
"definitivamente",2
"dejen",2
"dicho esto",4
"dimensionado",2
"en especial",2
"en gran medida",2
"en lugar",1
"en parte",3
"en serio",2
"enorme",2
"enormemente",2
"escasamente",3
"esporadicamente",3
"evidente",1
"excesivo",2
"excesivamente",2
"extrema",2
"extremadamente",2
"extremo",2
"fuertemente",2
"gran",2
"impida",1
"incalculable",2
"incalculablemente",2
"increiblemente",3
"incremento",2
"inmensamente",2
"inmenso",2
"jamas",1
"la mayoria",2
"mas",2
"mas o menos",3
"masivamente",2
"masivo",2
"mayormente",2
"menos",3
"mientras",4
"mientras que",4
"muchas",2
"mucho",2
"muy",2
"muy poco",3
"muy pocos",3
"nadie",1
"ni",1
"ningun",1
"ninguno",1
"no",1
"no debe",1
"no deberia",1
"no deberias",1
"no era",1
"no es",1
"no es necesario",1
"no haga",1
"no lo eran",1
"no lo hace",1
"no lo hagas",1
"no lo haria",1
"no lo hice",1
"no me atrevo",1
"no paro",2
"no podria",1
"no pude",1
"no puedo",1
"no son",1
"no te preocupes",1
"no tendria",1
"no tengo",1
"no tenia",1
"no tiene",1
"no voy a",1
"nunca",1
"particular",2
"particularmente",2
"pequeno",3
"pero",4
"pesado",2
"pocos",3
"profundamente",2
"profundo",2
"proposito",2
"provoco",2
"rara vez",3
"raramente",3
"real",2
"realmente",2
"rechazan",1
"sacaron",1
"seguramente",2
"serio",2
"severamente",2
"severo",2
"significativamente",2
"significativo",2
"simplemente",3
"sin duda",2
"sin embargo",4
"sino",1
"solo",3
"tan",2
"tanta",2
"totalmente",2
"tremendo",2
"tremendamente",2
"un poco",3
"una especie de",3
"unica",2
"urgente",2
"vasto",2
"grande",2
