word,value
Abba,1
capacidad,1
NO TRANSLATION,1
absoluto,1
absolución,1
absorbido,1
abundancia,1
abundante,1
académico,1
academia,1
aceptable,1
aceptación,1
accesible,1
espaldarazo,1
alojamiento,1
acompañamiento,1
realizar,1
consumado,1
logro,1
acuerdo,1
responsabilidad,1
explicable,1
autorizado,1
preciso,1
as,1
lograr,1
reconocimiento,1
adquirir,1
adquisidor,1
acróbata,1
acción,1
real,1
agudeza,1
perspicacia,1
adaptar,1
adaptable,1
direcciones,1
adepto,1
adjunto,1
admirable,1
almirante,1
admiración,1
admirar,1
admirador,1
admisible,1
adorable,1
adoración,1
adorar,1
avanzar,1
avanzado,1
adelanto,1
ventaja,1
ventajoso,1
adviento,1
aventuras,1
aventurero,1
aconsejable,1
asesorar,1
asesor,1
Abogacía,1
estético,1
estética,1
afable,1
afecto,1
asociado,1
afirmar,1
afirmación,1
afirmativo,1
afirmativamente,1
afluencia,1
afluente,1
permitirse,1
ágil,1
agilidad,1
de acuerdo,1
agradable,1
convenido,1
aceptando,1
agricultura,1
adelante,1
ayuda,1
ayudando,1
alabastro,1
vigilancia,1
viva,1
aliviar,1
lealtad,1
alegro,1
alivio,1
aliado,1
seducir,1
seductor,1
todopoderoso,1
aloha,1
espantosamente,1
embajador,1
ambición,1
mejorar,1
Amén,1
dócil,1
enmendar,1
compensación,1
amenidad,1
amable,1
amistoso,1
amnistía,1
entretener,1
divertido,1
diversión,1
analista,1
ancla,1
anclaje,1
ángel,1
angelical,1
animar,1
animado,1
antibióticos,1
antídoto,1
antimicótico,1
antiguo,1
antiséptico,1
aplomo,1
apologético,1
pedir disculpas,1
disculpa,1
apóstol,1
aplausos,1
apreciación,1
aprobación,1
aprobar,1
aprobatorio,1
apto,1
aptitud,1
arqueología,1
ardiente,1
ardor,1
aristocracia,1
aristocrático,1
armado,1
armadura,1
aroma,1
despertar,1
formación,1
art,1
articular,1
articulación,1
artesano,1
artístico,1
ascendencia,1
ascenso,1
aspiración,1
aspirar,1
ambicioso,1
montaje,1
asentir,1
afirmando,1
bienes,1
ayudar,1
asistencia,1
asociar,1
calmar,1
garantía,1
seguro,1
asombro,1
astrólogo,1
astronauta,1
astrónomo,1
astuto,1
atleta,1
atlético,1
átomo,1
expiar,1
expiación,1
adjunto archivo,1
alcanzable,1
asistente,1
atención,1
atento,1
dar fe,1
abogado,1
atracción,1
atractivo,1
aumentar,1
agosto,1
tía,1
aura,1
propicio,1
auténtico,1
autenticidad,1
autor,1
autoritario,1
autoridad,1
autorización,1
avatar,1
premio,1
sí,1
bebé,1
bachillerato,1
columna vertebral,1
equilibrar,1
equilibrado,1
balada,1
ballet,1
votación,1
bálsamo,1
banquete,1
bautismo,1
bautismal,1
bardo,1
negociar,1
baloncesto,1
bastión,1
bañera,1
haz,1
radiante,1
embellecimiento,1
hermosa,1
embellecer,1
belleza,1
base,1
cerveza,1
propio,1
ofrecer amistad,1
creyendo,1
benefactor,1
beneficioso,1
beneficio,1
benevolencia,1
benigno,1
atracar,1
prometido,1
mejoramiento,1
bebida,1
bíblico,1
bilingüe,1
nacimiento,1
cumpleaños,1
inocente,1
bendecir,1
bendito,1
bendición,1
bendiciones,1
felicidad,1
feliz,1
incruento,1
florecer,1
flor,1
alarde,1
guardaespaldas,1
bullicioso,1
negrita,1
audacia,1
reforzar,1
bonanza,1
prima,1
libresco,1
librería,1
ratón de biblioteca,1
generosidad,1
ramo,1
sesos,1
valentía,1
desayuno,1
nupcial,1
novia,1
novio,1
dama de honor,1
aclarar,1
brillo,1
brillante,1
brocado,1
hermano,1
fraternidad,1
fraternal,1
dólar,1
compañero,1
construir,1
edificio,1
buldog,1
a prueba de balas,1
boya,1
bus,1
mayordomo,1
mantecoso,1
exuberante,1
zumbido,1
taxi,1
gabinete,1
cafetería,1
calculadora,1
becerro,1
calma,1
canario,1
sincero,1
candidato,1
azucarado,1
capitalista,1
capitán,1
cautivar,1
cautivador,1
carrera,1
cuidadoso,1
cuidadosamente,1
caricia,1
vigilante,1
villancico,1
cascada,1
efectivo,1
categórico,1
abastecer,1
catártico,1
catedral,1
cauteloso,1
cautelosamente,1
celebrado,1
celebrando,1
celebracion,1
celebridad,1
celestial,1
centrar,1
centurión,1
cerebral,1
ceremonia,1
certeza,1
presidente,1
presidenta,1
campeón,1
cantar,1
cargador,1
Caritativo,1
caridad,1
encanto,1
Encantado,1
encantador,1
castidad,1
parloteo,1
lista de control,1
alegre,1
alegría,1
químico,1
apreciar,1
Cereza,1
jefe,1
niño,1
infancia,1
chirrido,1
cincel,1
caballería,1
chocolate,1
elección,1
coro,1
coral,1
elegido,1
sopa de pescado,1
crónica,1
risita,1
Iglesia,1
sidra,1
circuncisión,1
burla,1
ciudadano,1
civil,1
civilidad,1
civilización,1
civilizado,1
clarividente,1
aplaudir,1
clásico,1
clásicos,1
clasificar,1
limpiar,1
limpieza,1
limpiamente,1
despeje,1
claridad,1
clerical,1
inteligente,1
astucia,1
clímax,1
cercanía,1
cierre,1
payaso,1
coalición,1
costa,1
coexistir,1
convincente,1
cognitivo,1
coherencia,1
coherente,1
cohesivo,1
colectivamente,1
coronel,1
colosal,1
comodidad,1
comandante,1
dominante,1
conmemorar,1
conmemoración,1
conmemorativo,1
elogiar,1
recomendable,1
comentarista,1
comprometido,1
comodoro,1
mancomunidad,1
comunicar,1
comunicativo,1
comunión,1
comunidad,1
conmutación,1
conmutar,1
compasión,1
compasivo,1
compatibilidad,1
compatible,1
irresistible,1
compensar,1
compensatorio,1
competencia,1
competente,1
complacencia,1
complemento,1
complementario,1
completamente,1
lo completo,1
completando,1
terminación,1
conformidad,1
obediente,1
complicidad,1
compuesto,1
compositor,1
comprender,1
exhaustivo,1
camarada,1
concéntrico,1
conciliación,1
concluyendo,1
concordia,1
concordancia,1
condolencia,1
condonar,1
conducente,1
conductividad,1
confederado,1
confesar,1
confianza,1
confidente,1
confirmado,1
congratulatorio,1
congregación,1
congruencia,1
conocedor,1
conciencia,1
concienzudo,1
consagración,1
conservación,1
conservar,1
considerable,1
considerado,1
consistencia,1
consola,1
consonante,1
constancia,1
constante,1
constitucional,1
consumar,1
contacto,1
contemplación,1
contenido,1
continuar,1
contorno,1
contribuir,1
contribuyente,1
conveniencia,1
conveniente,1
convento,1
convención,1
versado en,1
conversacional,1
convertir,1
convencer,1
guay,1
frescura,1
cooperar,1
cooperando,1
cooperación,1
cooperativa,1
núcleo,1
coronación,1
corporación,1
corpóreo,1
correctivo,1
correspondencia,1
corroborar,1
cosmopolita,1
acogedor,1
Consejo,1
consejero,1
contar,1
condesa,1
valor,1
valiente,1
cortés,1
cortesía,1
noviazgo,1
ensenada,1
pacto,1
cuna,1
arte,1
crema,1
crear,1
creativo,1
crédito,1
credencial,1
credibilidad,1
creíble,1
acreditado,1
crescendo,1
crítica,1
coronamiento,1
crucial,1
cristal,1
abrazo,1
culinario,1
culminación,1
cultivar,1
cultivado,1
cultivo,1
cultura,1
curable,1
curiosidad,1
rizo,1
amortiguar,1
cliente,1
linda,1
cortadores,1
dama,1
baile,1
atrevido,1
querido,1
apuesto,1
hija,1
amanecer,1
debate,1
decencia,1
bueno,1
declaratorio,1
Dedicación,1
defender,1
defendido,1
defensor,1
defendiendo,1
defensa,1
deferencia,1
definitivo,1
la licenciatura,1
delicioso,1
delegar,1
deliberar,1
deleite,1
liberación,1
entrega,1
democracia,1
demostrable,1
demostrativo,1
dependiente,1
profundidad,1
descriptivo,1
merecer,1
merecido,1
diseñador,1
deseable,1
deseando,1
deseoso,1
destino,1
detectar,1
detección,1
determinación,1
determinado,1
desarrollar,1
piadoso,1
devoto,1
destreza,1
diamante,1
diario,1
diccionario,1
didáctico,1
dietético,1
digno,1
dignidad,1
diligencia,1
cena,1
diplomacia,1
diplomático,1
director,1
descubrimiento,1
discreción,1
discrecional,1
discusión,1
desinfección,1
dispuesto,1
diseminar,1
destilación,1
distinción,1
cancioneta,1
diverso,1
diversificado,1
desviación,1
divinidad,1
doctor,1
hacedor,1
obstinado,1
delfín,1
dominar,1
don,1
donación,1
indudable,1
paloma,1
velloso,1
dueto,1
duque,1
durabilidad,1
durable,1
ansioso,1
afán,1
conde,1
ganar,1
serio,1
formalmente,1
seriedad,1
facilitar,1
comer,1
éxtasis,1
extático,1
edificación,1
educar,1
educado,1
educativo,1
eficaz,1
eficacia,1
eficiencia,1
eficiente,1
esfuerzo,1
eyaculación,1
elaboración,1
exaltado,1
mayor,1
ancianos,1
electo,1
eléctrico,1
electricidad,1
elegancia,1
elegante,1
elevación,1
elegible,1
élite,1
elocuencia,1
elocuente,1
dilucidar,1
emancipación,1
emeritus,1
eminencia,1
eminente,1
eminentemente,1
empatía,1
autorizar,1
emular,1
habilitar,1
habilitación,1
encantar,1
alentar,1
ánimo,1
enciclopedia,1
interminable,1
dotar,1
dotado,1
dotación,1
resistencia,1
soportar,1
energético,1
hacer cumplir,1
disfrutar,1
disfrutando,1
iluminar,1
ilustración,1
enriquecer,1
conjunto,1
bandera,1
emprendedor,1
entretenido,1
entretenimiento,1
entusiasmo,1
entusiasta,1
efemérides,1
épico,1
epítome,1
igualdad,1
Igualmente,1
equilibrio,1
equidad,1
erótico,1
recado,1
erudito,1
escapar,1
espíritu,1
esencial,1
establecido,1
estima,1
ético,1
ética,1
hojas perennes,1
eterno,1
evidente,1
evolución,1
exaltar,1
exaltación,1
exceder,1
sobresalir,1
excelencia,1
excelente,1
intercambiar,1
excitable,1
excitación,1
excitar,1
emocionado,1
emoción,1
emocionante,1
ejemplar,1
exención,1
regocijo,1
exhortar,1
exhortación,1
existencia,1
exótico,1
esperar,1
expectativa,1
expedición,1
experimentado,1
experto,1
pericia,1
explique,1
Exquisito,1
exquisitamente,1
ampliar,1
extenso,1
extra,1
extraordinario,1
librar,1
exuberancia,1
hechos,1
facultad,1
justa,1
bastante,1
fe,1
fiel,1
fama,1
familiar,1
familiaridad,1
famoso,1
famosamente,1
lujoso,1
trompeteo,1
fascinante,1
fascinación,1
de moda,1
impecable,1
favorable,1
favorito,1
favoritismo,1
audaz,1
hazaña,1
característica,1
sensación,1
compañerismo,1
hembra,1
fértil,1
fervor,1
festival,1
festivo,1
fidelidad,1
fiesta,1
finalmente,1
galas,1
finura,1
bola de fuego,1
incombustible,1
firmeza,1
adecuado,1
accesorio,1
halagüeño,1
flota,1
flexibilidad,1
Ligar,1
floral,1
fluir,1
florido,1
enjuagar,1
volador,1
cariño,1
comida,1
fútbol,1
paciencia,1
delantero,1
antepasados,1
precedente,1
capataz,1
precursor,1
prever,1
visto el futuro,1
previsión,1
fragua,1
perdonar,1
perdonado,1
indulgente,1
formativo,1
fórmula,1
próximo,1
fortalecer,1
fortaleza,1
afortunado,1
fortuna,1
encontró,1
Fundación,1
fragante,1
franco,1
franqueza,1
libertad,1
libremente,1
amigo,1
amabilidad,1
amistad,1
retozón,1
frugal,1
fructífero,1
cumplir,1
cumplimiento,1
completo,1
fundamental,1
fusible,1
fusión,1
ganancia,1
ganando,1
galante,1
