id_ciudades,nombre,latitud,longitud
1,Azuay,-2.899126,-78.999509
2,Bolívar ,-1.589466,-78.999682
4,Carchi ,0.818076,-77.712178
5,Cotopaxi,-0.932586,-78.606665
6,Chimborazo,-1.665567,-78.656252
7,El Oro,-3.254802,-79.958613
9,Guayas ,-2.142888,-79.905765
10,Imbabura,0.349972,-78.115873
12,Los Ríos ,-1.804034,-79.533721
13,Manabí ,-1.02372,-80.372424
14,Morona Santiago ,-2.296642,-78.107513
15,Napo,-0.994384,-77.812901
16,Pastaza,-1.489252,-77.998596
17,Pichincha,-0.163935,-78.47175
18,Tungurahua ,-1.250279,-78.623851
19,Zamora Chinchipe ,-4.066308,-78.953462
20,Galápagos ,-0.90214,-89.61094
22,Orellana ,-0.441122,-76.995149
23,Santo Domingo De Los Tsáchilas ,-0.248736,-79.168685
24,Santa Elena ,-2.225094,-80.860727
25,Quito ,-0.190714,-78.489603
27,Cuenca,-2.897926,-79.004659
29,Gualaceo,-2.887308,-78.777417
31,Camilo Ponce Enriquez,-3.061026,-79.745792
33,San Luis de Pambil ,-1.21635,-79.239744
34,Chillanes ,-1.942856,-79.066179
35,San José de Chimbo ,-1.685,-79.024615
38,Caluma ,-1.631249,-79.258869
39,Azogues ,-2.7391,-78.845616
40,Bíblian ,-2.744676,-78.843907
42,La Troncal ,-2.420563,-79.343476
44,El Tambo ,-2.514595,-78.926028
45,Tulcán ,0.8149,-77.716384
46,Julio Andrade ,0.662941,-77.715933
48,El Angel,0.618291,-77.941561
51,Huaca,0.626788,-77.728829
52,Latacunga ,-0.933875,-78.616117
59,Licán ,-1.652189,-78.707053
60,Alausí,-2.202842,-78.844789
65,Cumandá,-2.206441,-79.134959
66,Machala ,-3.258311,-79.958314
67,Arenillas ,-3.552947,-80.068525
68,Balsas,-3.761508,-79.823876
70,Barbones,-3.190136,-79.855124
71,Huaquillas,-3.475423,-80.222664
73,Buenavista,-3.361956,-79.843461
74,Piñas,-3.680588,-79.682367
76,Santa Rosa ,-3.454264,-79.96356
77,Zaruma,-3.689528,-79.613928
79,Valdez ,1.249693,-78.987241
80,Muisne,0.610547,-80.019108
82,Malimpia,0.417646,-79.418167
85,Atacames ,0.870046,-79.848843
87,Tonsupa,0.888187,-79.810098
90,Posorja,-2.707044,-80.246772
91,Puná,-2.854841,-80.138857
92,Alfredo Baquerizo Moreno,-1.891447,-79.556531
93,Balao,-2.910962,-79.81552
95,Colimes,-1.546998,-80.009638
97,Durán ,-2.161269,-79.823378
98,El Empalme,-1.048532,-79.608207
99,El Triunfo,-2.328822,-79.403882
101,Naranjal,-2.675135,-79.620343
102,Naranjito,-2.173303,-79.465586
104,Pedro Carbo,-1.814629,-80.232382
105,Samborondón ,-1.960962,-79.724912
106,Tarifa,-1.977567,-79.754476
107,Salitre,-1.831124,-79.817041
108,Virgen de Fátima,-2.249196,-79.640776
111,Narcisa de Jesus,-1.914933,-80.012121
112,Isidro Ayora,-1.879989,-80.144845
117,San Francisco de Natabuela,0.338841,-78.193175
120,Imantag,0.299298,-78.266944
122,Peguche,0.23027,-78.263159
124,San Juan de Iluman ,0.33535,-78.522913
126,Pimanpiro,0.391677,-77.938969
127,Urcuqui,0.419452,-78.194361
129,Cariamanga,-4.325785,-79.55226
131,Celica,-4.103925,-79.955756
132,Macara,-4.381051,-79.940104
136,Febres Cordero,-1.950112,-79.300137
139,San Juan ,-1.628534,-79.562085
140,Quevedo,-1.026075,-79.46108
143,Ventanas,-1.441818,-79.460864
144,Zapotal,-1.447259,-79.461474
145,Vinces,-1.552292,-79.750082
146,Palenque,-1.43228,-79.752428
148,Valencia,-0.951931,-79.357277
149,Quinsaloma,-1.208041,-79.316198
150,Portoviejo,-1.054789,-80.456482
151,Crucita,-0.864364,-80.535604
152,Chone,-0.702871,-80.089898
153,El Carmen,-0.272557,-79.461507
154,Flavio Alfaro,-0.405564,-79.906585
155,Jipijapa,-1.348113,-80.57792
156,Junín,-0.926747,-80.206786
157,Manta,-0.959286,-80.704298
158,Montecristi,-1.043493,-80.658059
159,Rocafuerte,-0.922754,-80.451076
161,Bahía de Caráquez,-0.614381,-80.424882
162,Charapotó,-0.837479,-80.488222
163,Sucre,-1.278388,-80.418009
164,Pedernales,0.076127,-80.05141
165,Machalilla,-1.479716,-80.768678
166,Jaramijó,-0.948312,-80.63877
167,Macas,-2.302302,-78.117995
168,Sevilla Don Bosco,-2.316068,-78.100401
169,Gualaquiza,-3.400116,-78.578768
170,General Leonidas Plaza,-2.965004,-78.429092
171,Palora,-1.700101,-77.964412
172,Santiago de Méndez,-2.717329,-78.319418
173,Sucúa,-2.45776,-78.169837
174,Tena,-0.994322,-77.812805
175,Archidona,-0.909657,-77.806513
176,El Chaco,-0.336836,-77.808919
177,Puyo,-1.486518,-78.002802
178,Shell,-1.498054,-78.06248
180,Alangasí,-0.303625,-78.412654
182,Calderón,-0.094742,-78.421247
184,Cumbayá,-0.20587,-78.432884
185,El Quinche,-0.10949,-78.297702
186,Guayllabamba,-0.058274,-78.347152
189,Pomasqui,-0.042931,-78.455423
193,Machachi,-0.511028,-78.566275
195,Cutuglagua,-0.281242,-78.534259
196,Tabacundo,0.04055,-78.202641
197,Malchinguí,0.049038,-78.346529
198,Sangolquí,-0.331502,-78.448276
203,San Bartolomé de Pinllo,-1.251506,-78.617002
204,Baños de Agua Santa,-1.396377,-78.424534
207,Zamora    ,-4.064531,-78.950215
208,Guayzimi,-4.046849,-78.680963
211,Zumbi,-3.89373,-78.780259
212,Paquisha,-3.932323,-78.674553
213,Puerto Baquerizo Moreno,-0.90494,-89.610533
214,Puerto Ayora,-0.738143,-90.314103
217,Lumbaquí,0.047892,-77.328185
218,Puerto el Carmen,0.119844,-75.863062
223,Loreto,-0.690651,-77.310337
227,Santa Elena  ,-2.226519,-80.859839
231,Manglar Alto,-1.84967,-80.745851
232,San José de Ancón,-2.319501,-80.855378
235,Aconcito,-2.317502,-80.88865
237,Baños   ,-2.923379,-79.06561
238,Checa,-2.805044,-78.992894
239,Llacao,-2.839163,-78.941461
240,Nulti,-2.916672,-78.849955
245,Sidcay,-2.859018,-78.93735
246,Sinincay,-2.850576,-79.014879
247,Tarqui,-2.896323,-79.007377
248,Valle,-2.937115,-78.965788
249,Zhidmad,-2.929705,-78.898324
250,Nabón,-3.33639,-79.06338
252,SANTA ISABEL,-3.274609,-79.314208
253,Cuchil,-3.078683,-78.799567
254,San Bartolomé  ,-3,-78.8333
255,Principal,-3.01667,-78.7333
256,Sevilla de Oro,-2.800665,-78.652013
258,Facundo Vela,-1.196938,-79.055871
259,Julio moreno,-1.6,-79.0333
262,San Simón,-1.65,-78.9833
263,Santa Fé,-1.61667,-79
264,Simiátug,-1.296941,-78.915144
265,San Luís de Pambil,-1.234307,-79.238617
266,Chillanes,-1.942991,-79.065894
267,San José del Tambo,-1.93333,-79.1833
